"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Device Type","192.168.12.73",3,2048,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,2056,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,2060,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,2068,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,2076,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,2084,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,2086,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,2088,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,2089,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,2090,1,"'0000",0
"Location Text","192.168.12.73",3,2091,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,2107,2,"'00000000",0
"Longitude","192.168.12.73",3,2109,2,"'00000000",0
"Config Flags","192.168.12.73",3,2111,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,2113,2,"'00000000",0
"Battery Current","192.168.12.73",3,2115,2,"'00000000",0
"Battery Charged","192.168.12.73",3,2117,1,"'0000",0
"Battery Health","192.168.12.73",3,2118,1,"'0000",0
"Charger Voltage","192.168.12.73",3,2119,2,"'00000000",0
"Charger Current","192.168.12.73",3,2121,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,2123,2,"'00000000",0
"Solar Current","192.168.12.73",3,2125,2,"'00000000",0
"Controller Status","192.168.12.73",3,2127,2,"'00000000",0
"Tracking Status","192.168.12.73",3,2129,1,"'0000",0
"Current Angle","192.168.12.73",3,2130,2,"'00000000",0
"Requested Angle","192.168.12.73",3,2132,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,2134,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,2136,2,"'00000000",0
"Wind Speed","192.168.12.73",3,2138,2,"'00000000",0
"Wind Direction","192.168.12.73",3,2140,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,2142,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,2144,2,"'00000000",0
"Snow Temp","192.168.12.73",3,2146,2,"'00000000",0
"Snow Distance","192.168.12.73",3,2148,2,"'00000000",0
"Snow Depth","192.168.12.73",3,2150,2,"'00000000",0
"Row Locked","192.168.12.73",3,2152,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 5 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,2560,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,2568,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,2572,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,2580,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,2588,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,2596,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,2598,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,2600,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,2601,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,2602,1,"'0000",0
"Location Text","192.168.12.73",3,2603,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,2619,2,"'00000000",0
"Longitude","192.168.12.73",3,2621,2,"'00000000",0
"Config Flags","192.168.12.73",3,2623,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,2625,2,"'00000000",0
"Battery Current","192.168.12.73",3,2627,2,"'00000000",0
"Battery Charged","192.168.12.73",3,2629,1,"'0000",0
"Battery Health","192.168.12.73",3,2630,1,"'0000",0
"Charger Voltage","192.168.12.73",3,2631,2,"'00000000",0
"Charger Current","192.168.12.73",3,2633,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,2635,2,"'00000000",0
"Solar Current","192.168.12.73",3,2637,2,"'00000000",0
"Controller Status","192.168.12.73",3,2639,2,"'00000000",0
"Tracking Status","192.168.12.73",3,2641,1,"'0000",0
"Current Angle","192.168.12.73",3,2642,2,"'00000000",0
"Requested Angle","192.168.12.73",3,2644,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,2646,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,2648,2,"'00000000",0
"Wind Speed","192.168.12.73",3,2650,2,"'00000000",0
"Wind Direction","192.168.12.73",3,2652,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,2654,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,2656,2,"'00000000",0
"Snow Temp","192.168.12.73",3,2658,2,"'00000000",0
"Snow Distance","192.168.12.73",3,2660,2,"'00000000",0
"Snow Depth","192.168.12.73",3,2662,2,"'00000000",0
"Row Locked","192.168.12.73",3,2664,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 6 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,3072,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,3080,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,3084,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,3092,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,3100,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,3108,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,3110,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,3112,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,3113,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,3114,1,"'0000",0
"Location Text","192.168.12.73",3,3115,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,3131,2,"'00000000",0
"Longitude","192.168.12.73",3,3133,2,"'00000000",0
"Config Flags","192.168.12.73",3,3135,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,3137,2,"'00000000",0
"Battery Current","192.168.12.73",3,3139,2,"'00000000",0
"Battery Charged","192.168.12.73",3,3141,1,"'0000",0
"Battery Health","192.168.12.73",3,3142,1,"'0000",0
"Charger Voltage","192.168.12.73",3,3143,2,"'00000000",0
"Charger Current","192.168.12.73",3,3145,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,3147,2,"'00000000",0
"Solar Current","192.168.12.73",3,3149,2,"'00000000",0
"Controller Status","192.168.12.73",3,3151,2,"'00000000",0
"Tracking Status","192.168.12.73",3,3153,1,"'0000",0
"Current Angle","192.168.12.73",3,3154,2,"'00000000",0
"Requested Angle","192.168.12.73",3,3156,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,3158,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,3160,2,"'00000000",0
"Wind Speed","192.168.12.73",3,3162,2,"'00000000",0
"Wind Direction","192.168.12.73",3,3164,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,3166,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,3168,2,"'00000000",0
"Snow Temp","192.168.12.73",3,3170,2,"'00000000",0
"Snow Distance","192.168.12.73",3,3172,2,"'00000000",0
