"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Has WX Sensor","192.168.12.73",1,2601,1,"'0000",0
"Has Tracker HW","192.168.12.73",1,2602,1,"'0000",0
"Location Text","192.168.12.73",1,2603,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",1,2619,2,"'00000000",0
"Longitude","192.168.12.73",1,2621,2,"'00000000",0
"Config Flags","192.168.12.73",1,2623,2,"'00000000",0
"Battery Voltage","192.168.12.73",1,2625,2,"'00000000",0
"Battery Current","192.168.12.73",1,2627,2,"'00000000",0
"Battery Charged","192.168.12.73",1,2629,1,"'0000",0
"Battery Health","192.168.12.73",1,2630,1,"'0000",0
"Charger Voltage","192.168.12.73",1,2631,2,"'00000000",0
"Charger Current","192.168.12.73",1,2633,2,"'00000000",0
"Solar Voltage","192.168.12.73",1,2635,2,"'00000000",0
"Solar Current","192.168.12.73",1,2637,2,"'00000000",0
"Controller Status","192.168.12.73",1,2639,2,"'00000000",0
"Tracking Status","192.168.12.73",1,2641,1,"'0000",0
"Current Angle","192.168.12.73",1,2642,2,"'00000000",0
"Requested Angle","192.168.12.73",1,2644,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",1,2646,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",1,2648,2,"'00000000",0
"Wind Speed","192.168.12.73",1,2650,2,"'00000000",0
"Wind Direction","192.168.12.73",1,2652,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",1,2654,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",1,2656,2,"'00000000",0
"Snow Temp","192.168.12.73",1,2658,2,"'00000000",0
"Snow Distance","192.168.12.73",1,2660,2,"'00000000",0
"Snow Depth","192.168.12.73",1,2662,2,"'00000000",0
"Row Locked","192.168.12.73",1,2664,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 6 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",1,3072,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",1,3080,4,"'0000000000000000","0"
"Model Number","192.168.12.73",1,3084,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",1,3092,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",1,3100,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",1,3108,2,"'00000000",0
