"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
576,"SNAP Addr","192.168.12.73",6,38438,2,"'1BEBE7","0x1BEBE7"
576,"RSSI","192.168.12.73",6,38440,1,"'000D",13
576,"Has WX Sensor","192.168.12.73",6,38441,1,"'0000",0
576,"Has Tracker HW","192.168.12.73",6,38442,1,"'0001",1
576,"Location Text","192.168.12.73",6,38443,16,"'3537360000000000000000000000000000000000000000000000000000000000","576"
576,"Latitude","192.168.12.73",6,38459,2,"'4206AD7B",33.66941452026367
576,"Longitude","192.168.12.73",6,38461,2,"'429216F4",73.04483032226562
576,"Config Flags","192.168.12.73",6,38463,2,"'000000C5",197
576,"Battery Voltage","192.168.12.73",6,38465,2,"'4151999A",13.100000381469727
576,"Battery Current","192.168.12.73",6,38467,2,"'3D4CCCCD",0.05000000074505806
576,"Battery Charged","192.168.12.73",6,38469,1,"'005D",93
576,"Battery Health","192.168.12.73",6,38470,1,"'0064",100
576,"Charger Voltage","192.168.12.73",6,38471,2,"'00000000",0
576,"Charger Current","192.168.12.73",6,38473,2,"'00000000",0
576,"Solar Voltage","192.168.12.73",6,38475,2,"'00000000",0
576,"Solar Current","192.168.12.73",6,38477,2,"'00000000",0
576,"Controller Status","192.168.12.73",6,38479,2,"'0000000C",12
576,"Tracking Status","192.168.12.73",6,38481,1,"'0000",0
576,"Current Angle","192.168.12.73",6,38482,2,"'BF99999A",-1.2000000476837158
576,"Requested Angle","192.168.12.73",6,38484,2,"'406CCCCD",3.700000047683716
576,"Motor Power (Prev Hr)","192.168.12.73",6,38486,2,"'00000000",0
576,"Angular Error (Prev Hr)","192.168.12.73",6,38488,2,"'C099999A",-4.800000190734863
576,"Wind Speed","192.168.12.73",6,38490,2,"'00000000",0
576,"Wind Direction","192.168.12.73",6,38492,2,"'00000000",0
576,"Avg Wind Speed","192.168.12.73",6,38494,2,"'00000000",0
576,"Peak Wind Speed","192.168.12.73",6,38496,2,"'00000000",0
576,"Snow Temp","192.168.12.73",6,38498,2,"'00000000",0
576,"Snow Distance","192.168.12.73",6,38500,2,"'00000000",0
576,"Snow Depth","192.168.12.73",6,38502,2,"'00000000",0
576,"Row Locked","192.168.12.73",6,38504,1,"'0001",1
577,"Device Type","192.168.12.73",6,38912,8,"'00",""
577,"Last Reported","192.168.12.73",6,38920,4,"'0000000000000000","0"
577,"Model Number","192.168.12.73",6,38924,8,"'00",""
577,"HW Rev","192.168.12.73",6,38932,8,"'4E6F6E65000000000000000000000000","None"
577,"FW Rev","192.168.12.73",6,38940,8,"'00",""
577,"Uptime","192.168.12.73",6,38948,2,"'00000000",0
