"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
575,"Current Angle","192.168.12.73",101,293970,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293970",""
575,"Requested Angle","192.168.12.73",101,293972,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293972",""
575,"Motor Power (Prev Hr)","192.168.12.73",101,293974,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293974",""
575,"Angular Error (Prev Hr)","192.168.12.73",101,293976,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293976",""
575,"Wind Speed","192.168.12.73",101,293978,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293978",""
575,"Wind Direction","192.168.12.73",101,293980,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293980",""
575,"Avg Wind Speed","192.168.12.73",101,293982,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293982",""
575,"Peak Wind Speed","192.168.12.73",101,293984,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293984",""
575,"Snow Temp","192.168.12.73",101,293986,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293986",""
575,"Snow Distance","192.168.12.73",101,293988,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293988",""
575,"Snow Depth","192.168.12.73",101,293990,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293990",""
575,"Row Locked","192.168.12.73",101,293992,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293992",""
576,"Device Type","192.168.12.73",101,294400,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294400",""
576,"Last Reported","192.168.12.73",101,294408,4,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294408",""
576,"Model Number","192.168.12.73",101,294412,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294412",""
576,"HW Rev","192.168.12.73",101,294420,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294420",""
576,"FW Rev","192.168.12.73",101,294428,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294428",""
576,"Uptime","192.168.12.73",101,294436,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294436",""
576,"SNAP Addr","192.168.12.73",101,294438,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294438",""
576,"RSSI","192.168.12.73",101,294440,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294440",""
576,"Has WX Sensor","192.168.12.73",101,294441,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294441",""
576,"Has Tracker HW","192.168.12.73",101,294442,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294442",""
576,"Location Text","192.168.12.73",101,294443,16,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294443",""
576,"Latitude","192.168.12.73",101,294459,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294459",""
576,"Longitude","192.168.12.73",101,294461,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294461",""
576,"Config Flags","192.168.12.73",101,294463,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294463",""
576,"Battery Voltage","192.168.12.73",101,294465,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294465",""
576,"Battery Current","192.168.12.73",101,294467,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294467",""
576,"Battery Charged","192.168.12.73",101,294469,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294469",""
576,"Battery Health","192.168.12.73",101,294470,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294470",""
576,"Charger Voltage","192.168.12.73",101,294471,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294471",""
576,"Charger Current","192.168.12.73",101,294473,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294473",""
576,"Solar Voltage","192.168.12.73",101,294475,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294475",""
576,"Solar Current","192.168.12.73",101,294477,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294477",""
576,"Controller Status","192.168.12.73",101,294479,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294479",""
576,"Tracking Status","192.168.12.73",101,294481,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294481",""
576,"Current Angle","192.168.12.73",101,294482,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294482",""
576,"Requested Angle","192.168.12.73",101,294484,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294484",""
576,"Motor Power (Prev Hr)","192.168.12.73",101,294486,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294486",""
576,"Angular Error (Prev Hr)","192.168.12.73",101,294488,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294488",""
576,"Wind Speed","192.168.12.73",101,294490,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294490",""
576,"Wind Direction","192.168.12.73",101,294492,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294492",""
576,"Avg Wind Speed","192.168.12.73",101,294494,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294494",""
576,"Peak Wind Speed","192.168.12.73",101,294496,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294496",""
576,"Snow Temp","192.168.12.73",101,294498,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294498",""
576,"Snow Distance","192.168.12.73",101,294500,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294500",""
576,"Snow Depth","192.168.12.73",101,294502,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294502",""
576,"Row Locked","192.168.12.73",101,294504,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294504",""
577,"Device Type","192.168.12.73",101,294912,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294912",""
577,"Last Reported","192.168.12.73",101,294920,4,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294920",""
577,"Model Number","192.168.12.73",101,294924,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294924",""
577,"HW Rev","192.168.12.73",101,294932,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294932",""
577,"FW Rev","192.168.12.73",101,294940,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294940",""
577,"Uptime","192.168.12.73",101,294948,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294948",""
577,"SNAP Addr","192.168.12.73",101,294950,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294950",""
577,"RSSI","192.168.12.73",101,294952,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294952",""
577,"Has WX Sensor","192.168.12.73",101,294953,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294953",""
577,"Has Tracker HW","192.168.12.73",101,294954,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294954",""
577,"Location Text","192.168.12.73",101,294955,16,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294955",""
577,"Latitude","192.168.12.73",101,294971,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294971",""
577,"Longitude","192.168.12.73",101,294973,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294973",""
577,"Config Flags","192.168.12.73",101,294975,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294975",""
577,"Battery Voltage","192.168.12.73",101,294977,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294977",""
577,"Battery Current","192.168.12.73",101,294979,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294979",""
577,"Battery Charged","192.168.12.73",101,294981,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294981",""
577,"Battery Health","192.168.12.73",101,294982,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294982",""
577,"Charger Voltage","192.168.12.73",101,294983,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294983",""
577,"Charger Current","192.168.12.73",101,294985,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294985",""
577,"Solar Voltage","192.168.12.73",101,294987,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294987",""
577,"Solar Current","192.168.12.73",101,294989,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294989",""
577,"Controller Status","192.168.12.73",101,294991,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294991",""
577,"Tracking Status","192.168.12.73",101,294993,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294993",""
577,"Current Angle","192.168.12.73",101,294994,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294994",""
577,"Requested Angle","192.168.12.73",101,294996,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294996",""
577,"Motor Power (Prev Hr)","192.168.12.73",101,294998,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 294998",""
577,"Angular Error (Prev Hr)","192.168.12.73",101,295000,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295000",""
577,"Wind Speed","192.168.12.73",101,295002,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295002",""
577,"Wind Direction","192.168.12.73",101,295004,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295004",""
577,"Avg Wind Speed","192.168.12.73",101,295006,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295006",""
577,"Peak Wind Speed","192.168.12.73",101,295008,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295008",""
577,"Snow Temp","192.168.12.73",101,295010,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295010",""
577,"Snow Distance","192.168.12.73",101,295012,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295012",""
577,"Snow Depth","192.168.12.73",101,295014,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295014",""
577,"Row Locked","192.168.12.73",101,295016,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 295016",""
599,"Device Type","192.168.12.73",101,306176,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306176",""
599,"Last Reported","192.168.12.73",101,306184,4,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306184",""
599,"Model Number","192.168.12.73",101,306188,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306188",""
599,"HW Rev","192.168.12.73",101,306196,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306196",""
599,"FW Rev","192.168.12.73",101,306204,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306204",""
599,"Uptime","192.168.12.73",101,306212,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306212",""
599,"SNAP Addr","192.168.12.73",101,306214,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306214",""
599,"RSSI","192.168.12.73",101,306216,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306216",""
599,"Has WX Sensor","192.168.12.73",101,306217,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306217",""
599,"Has Tracker HW","192.168.12.73",101,306218,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306218",""
599,"Location Text","192.168.12.73",101,306219,16,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306219",""
599,"Latitude","192.168.12.73",101,306235,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306235",""
599,"Longitude","192.168.12.73",101,306237,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306237",""
599,"Config Flags","192.168.12.73",101,306239,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306239",""
599,"Battery Voltage","192.168.12.73",101,306241,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306241",""
599,"Battery Current","192.168.12.73",101,306243,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306243",""
599,"Battery Charged","192.168.12.73",101,306245,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306245",""
599,"Battery Health","192.168.12.73",101,306246,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306246",""
599,"Charger Voltage","192.168.12.73",101,306247,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306247",""
599,"Charger Current","192.168.12.73",101,306249,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306249",""
599,"Solar Voltage","192.168.12.73",101,306251,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306251",""
599,"Solar Current","192.168.12.73",101,306253,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306253",""
599,"Controller Status","192.168.12.73",101,306255,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306255",""
599,"Tracking Status","192.168.12.73",101,306257,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306257",""
599,"Current Angle","192.168.12.73",101,306258,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306258",""
599,"Requested Angle","192.168.12.73",101,306260,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306260",""
599,"Motor Power (Prev Hr)","192.168.12.73",101,306262,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306262",""
599,"Angular Error (Prev Hr)","192.168.12.73",101,306264,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306264",""
599,"Wind Speed","192.168.12.73",101,306266,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306266",""
599,"Wind Direction","192.168.12.73",101,306268,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306268",""
599,"Avg Wind Speed","192.168.12.73",101,306270,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306270",""
599,"Peak Wind Speed","192.168.12.73",101,306272,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306272",""
599,"Snow Temp","192.168.12.73",101,306274,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306274",""
599,"Snow Distance","192.168.12.73",101,306276,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306276",""
599,"Snow Depth","192.168.12.73",101,306278,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306278",""
599,"Row Locked","192.168.12.73",101,306280,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306280",""
600,"Device Type","192.168.12.73",101,306688,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306688",""
600,"Last Reported","192.168.12.73",101,306696,4,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306696",""
600,"Model Number","192.168.12.73",101,306700,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306700",""
600,"HW Rev","192.168.12.73",101,306708,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306708",""
600,"FW Rev","192.168.12.73",101,306716,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306716",""
600,"Uptime","192.168.12.73",101,306724,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306724",""
600,"SNAP Addr","192.168.12.73",101,306726,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 306726",""
